TrkNo,TrkDate,PerNo,PerDate,BlockNo,LotNo,Qual,PropHouseNo,PropStreet,PropCity,OwnerHouseNo,OwnerStreet,OwnerCity,OwnerState,OwnerZip,CO_Date,Latitude,Longitude
1314,1994-03-30T00:00:00,19940871,1994-03-30T00:00:00,150-02,162,,1,GATEWAY CENTER,NEWARK,,,,,,1994-04-06T00:00:00,40.73446,-74.16572
1650,1994-04-13T00:00:00,19940956,1994-04-13T00:00:00,244,31-40,,193-211,HUNTERDON STREET,NEWARK,91,SOUTH HARRISON STREE,EAST ORANGE,NJ,07018,1998-11-10T00:00:00,40.73792,-74.19288
3712,1994-07-27T00:00:00,19942619,1994-07-27T00:00:00,641,43,,615,NO. 7TH STREET,NEWARK,80,ELM STREET,NEWARK,NJ,,1999-06-23T00:00:00,40.7712135,-74.18148
3713,1994-07-27T00:00:00,19942618,1994-07-27T00:00:00,641,43.2,,617,NO. 7TH STREET,NEWARK,93,MONROE STREET,NEWARK,NJ,07105,1997-12-10T00:00:00,40.7712,-74.18124
3876,1994-07-08T00:00:00,19942491,1994-07-08T00:00:00,17-126.01,1-124,,ONE,CENTER STREET,NEWARK,,ONE,NEWARK,NJ,07102,1997-11-13T00:00:00,40.74015,-74.1673355
3921,1994-09-23T00:00:00,19943393,1994-09-23T00:00:00,813,17.04,,883-893,CLIFTON AVENUE,NEWARK,225,BOSTON AVENUE,HILLSIDE,NJ,07205,1997-02-06T00:00:00,40.7809753,-74.1638947
3924,1994-09-23T00:00:00,19943394,1994-09-23T00:00:00,813,17.03,,889-893,CLIFTON AVENUE,NEWARK,225,BOSTON AVENUE,HILLSIDE,NJ,07205,1997-06-12T00:00:00,40.7811241,-74.16381
4183,1994-11-28T00:00:00,19944440,1994-11-28T00:00:00,57,47,,148-150,BRUNSWICK STREET,NEWARK,654,MADISON AVENUE,ELIZABETH,NJ,,1999-01-29T00:00:00,40.72239,-74.18601
5141,1995-03-27T00:00:00,19956295,1995-03-27T00:00:00,99,3,,94,WILLIAM ST.,NEWARK,920,BROAD STREET,NEWARK,NJ,07105,2000-08-09T00:00:00,40.73428,-74.17806
5181,1995-03-06T00:00:00,19956153,1995-03-06T00:00:00,947,11,"",98,PACIFIC ST.,NEWARK,98,PACIFIC STREET,NEWARK,NJ,07105,2001-10-05T00:00:00,40.724556,-74.16697
5435,1995-03-31T00:00:00,19956757,1995-05-05T00:00:00,278,30,,424-426,FIFTEENTH AVE.,NEWARK,298,SOUTH ORANGE AVENUE,NEWARK,NJ,07103,2000-04-17T00:00:00,40.736866,-74.1979
5523,1995-05-26T00:00:00,19956896,1995-05-26T00:00:00,79,01,,520,MARTIN LUTHER KING B,NEWARK,520,MARTIN LUTHER KING B,NEWARK,NJ,07102,2000-09-08T00:00:00,40.7355728,-74.17963
5619,1995-06-13T00:00:00,19956986,1995-06-13T00:00:00,62,1-61,,153,HALSEY ST.,NEWARK,125,PASSAIC AVE,FAIRFIELD,NJ,07004,1997-04-30T00:00:00,40.7373123,-74.17326
5721,1995-01-10T00:00:00,19956966,1995-05-30T00:00:00,196,32,,137,UNION STREET,NEWARK,,,NEWARK,NJ,07105,1997-06-10T00:00:00,40.7292442,-74.16572
5747,1995-04-21T00:00:00,19956756,1995-04-21T00:00:00,278,27,,420 - 422,FIFTEENTH AVENUE,NEWARK,298,SOUTH ORANGE AVENUE,NEWARK,NJ,07103,1999-05-13T00:00:00,40.73682,-74.1977158
5755,1995-05-30T00:00:00,19956974,1995-05-30T00:00:00,2479,61,,27,MANUFACTURERS PLACE,NEWARK,102,ELM STREET,NEWARK,NJ,07105,1997-03-19T00:00:00,40.7313,-74.13712
5897,2001-01-04T00:00:00,20010010,2001-01-04T00:00:00,702,83,"",491,Delavan Avenue,"",491,Delavan Avenue,Newark,NJ,07104,2001-02-06T00:00:00,40.7759666,-74.18105
6079,2001-01-16T00:00:00,20010073,2001-01-17T00:00:00,916,01,"",179-181,NEW JERSEY RAIL ROAD AVE.,"",9-11,NEW YORK AVENUE,NEWARK,NJ,07105,2002-05-16T00:00:00,40.7281075,-74.17046
6141,2001-01-19T00:00:00,20010114,2001-01-22T00:00:00,1936,01,"",340-346,North 7th Street,"",340-346,NORTH 7TH ST.,NEWARK,NJ,07107,2001-07-11T00:00:00,40.7614555,-74.1868057
6203,2001-01-23T00:00:00,20010126,2001-01-24T00:00:00,955,17.02,"",275,CHESTNUT STREET,"",217,CHESTNUT STREET,NEWARK,NJ,07105,2001-11-13T00:00:00,40.722538,-74.16524
6204,2001-01-23T00:00:00,20010117,2001-01-23T00:00:00,1906,05,"",107-113,ROSEVILLE AVENUE,"",189,ROSEVILLE AVENUE,NEWARK,NJ,07107,2001-03-16T00:00:00,40.7542343,-74.191124
6232,2001-01-24T00:00:00,20010129,2001-03-15T00:00:00,1993,22,"",37,MERCHANT STREET,"",37,MERCHANT STREET,NEWARK,NJ,07105,2001-07-02T00:00:00,40.72856,-74.15535
6249,2001-01-24T00:00:00,20010138,2001-01-25T00:00:00,841,4.05,"",189-191,Sylvan Avenue,"",191,Sylvan Avenue,Newark,NJ,07108,2001-06-26T00:00:00,40.782608,-74.16006
6250,2001-01-24T00:00:00,20010140,2001-01-25T00:00:00,841,4.06,"",193,Sylvan Avenue,"",915,Jackson Avenue,Elizabeth,NJ,07201,2001-06-26T00:00:00,40.78286,-74.16007
6672,1995-07-20T00:00:00,19957641,1995-07-20T00:00:00,2642,18,"",839-841,SO. 19TH STREET,NEWARK,193,HANSBURY AVE,NEWARK,NJ,07112,1997-08-08T00:00:00,40.727272,-74.2147446
6707,1995-08-02T00:00:00,19957710,1995-08-02T00:00:00,5038,54.01,,34 - 48,AVENUE K,NEWARK,318,JEFFERSON STREET,NEWARK,NJ,07105,1999-02-03T00:00:00,40.7191048,-74.14757
6795,1995-08-09T00:00:00,19958252,1995-08-09T00:00:00,4119,9/10,,55 - 57,HAZELWOOD AVENUE,NEWARK,40-42,RICHELIEU TERRACE,NEWARK,NJ,07106,1997-06-03T00:00:00,40.7437134,-74.23358
6796,1995-09-08T00:00:00,19958251,1995-09-08T00:00:00,4067,5,,96 - 98,STUYVESANT AVENUE,NEWARK,40-42,RICHELIEU TERRACE,NEWARK,NJ,07106,1997-06-03T00:00:00,40.7430038,-74.22986
6895,1995-10-11T00:00:00,19958379,1996-12-26T00:00:00,720,38,,618,BROADWAY,NEWARK,618,BROADWAY,NEWARK,,07105,1997-01-27T00:00:00,40.7716179,-74.16238
7369,1995-11-06T00:00:00,19958844,1995-11-06T00:00:00,4135,01,,829 - 837,SANFORD AVENUE,NEWARK,505,BLOOMFIELD AVENUE,MONTCLAIR,NJ,07042,1997-05-02T00:00:00,40.73393,-74.23822
8227,1996-02-29T00:00:00,19969667,1996-02-29T00:00:00,2079,37,,44,KOSSUTH STREET,NEWARK,49,KOSSUTH STREET,NEWARK,NJ,07105,1997-03-25T00:00:00,40.7234573,-74.14872
8274,1996-02-21T00:00:00,19969959,1996-02-21T00:00:00,104,1,,192-338,LAKE ST.,NEWARK,,,,,,1997-03-06T00:00:00,40.7579956,-74.18034
8407,1996-04-01T00:00:00,19960143,1996-04-01T00:00:00,313,35,"",566,SO. 19TH STREET,Newark,72,FULLER PL,IRVINGTON,NJ,07111,1997-04-11T00:00:00,40.7372551,-74.21061
8438,1996-04-01T00:00:00,19960395,1996-04-01T00:00:00,628,9&11,,493-5/97-,MT. PROSPECT AVENUE,NEWARK,505,MT. PROSPECT AVENUE,NEWARK,NJ,07104,1997-09-08T00:00:00,40.79058,-74.25508
8572,1998-08-19T00:00:00,19960129,1998-08-19T00:00:00,97,52,,404,UNIVERSITY AVENUE,NEWARK,1160,RAYMOND BLVD,NEWARK,NJ,07102,1997-03-06T00:00:00,40.7339249,-74.1776657
8575,1996-04-16T00:00:00,19960604,1996-04-16T00:00:00,2659,12,,575,BERGEN STREET,NEWARK,,,,,,1997-02-18T00:00:00,40.72469,-74.19917
8738,1996-04-05T00:00:00,19960264,1996-04-05T00:00:00,2013,9.01,"",90,FILLMORE ST.,NEWARK,217,CHESTNUT STREET,NEWARK,NJ,07105,1997-04-14T00:00:00,40.729393,-74.15022
8767,1996-04-05T00:00:00,19960259,1996-04-05T00:00:00,2010,30.06,,85,FILLMORE ST,NEWARK,217,CHESTNUT STREET,NEWARK,NJ,07105,1997-04-14T00:00:00,40.7296,-74.15069
8771,1996-05-06T00:00:00,19960735,1996-05-06T00:00:00,2479,49.06,,8,VINCENT STREET,NEWARK,112,LULASKI STREET,NEWARK,NJ,,1997-08-01T00:00:00,40.73197,-74.13785
8782,1996-04-05T00:00:00,19960253,1996-04-05T00:00:00,2010,30.01,,75,FILLMORE ST.,NEWARK,217,CHESTNUT STREET,NEWARK,NJ,07105,1997-09-30T00:00:00,40.73001,-74.1505356
8796,1996-05-07T00:00:00,19960761,1996-05-09T00:00:00,594,4,,408-414,BLOOMFIELD AVENUE,NEWARK,249,FRANKLIN AVENUE,NUTLEY,NJ,07110,1998-03-20T00:00:00,40.7695656,-74.18267
8914,1996-05-28T00:00:00,19960871,1996-05-28T00:00:00,1986,6/8/9,,149,FERRY STREET,NEWARK,,ROUTE,JERSEY CITY,NJ,07304,1997-09-04T00:00:00,40.7293243,-74.15904
8993,1996-06-04T00:00:00,19961225,1996-06-04T00:00:00,7,72,,89-91,MARKET STREET,NEWARK,15,E MIDLAND AVENUE,PARAMUS,NJ,07652,1997-06-12T00:00:00,40.7367058,-74.17532
9082,1996-05-30T00:00:00,19961264,1996-06-12T00:00:00,508,28,,164,RIDGE ST.,NEWARK,32,HIGHLAND AVENUE,NEWARK,NJ,07104,1997-04-02T00:00:00,40.7582932,-74.1771545
9094,1996-06-18T00:00:00,19961315,1996-06-18T00:00:00,2013,84,,322 - 324,FERRY STREET,NEWARK,166,BRILL ST.,NEWARK,NJ,07105,1998-03-30T00:00:00,40.729393,-74.14942
9116,1996-06-20T00:00:00,19961333,1996-06-20T00:00:00,934,22/02,,113,PACIFIC ST.,NEWARK,645,BELGROVE DRIVE,KEARNY,NJ,07032,1998-08-12T00:00:00,40.72408,-74.1677551
9150,1996-06-26T00:00:00,19960846,1996-06-26T00:00:00,376,23,,395-411,MARTIN LUTHER KING B,NEWARK,323,MARTIN LUTHER KING B,NEWARK,NJ,07003,1997-02-13T00:00:00,40.7399635,-74.17781
9153,1996-06-19T00:00:00,19961326,1996-06-19T00:00:00,2477,15,,484,FERRY STREET,NEWARK,,P,NEWARK,NJ,07105,1998-05-08T00:00:00,40.73154,-74.14106
9166,1996-07-05T00:00:00,19961385,1996-07-05T00:00:00,951,116,,73,WARWICK ST.,NEWARK,2714,ANDREA ROAD,UNION,NJ,07083,1997-05-01T00:00:00,40.7253456,-74.1631241
9169,1996-07-02T00:00:00,19961393,1996-07-02T00:00:00,62,1-C1,,153,HALSEY ST.,NEWARK,125,PASSAIC AVENUE,FAIRFIELD,NJ,07004,1997-04-30T00:00:00,40.7373123,-74.17326
9176,1996-07-02T00:00:00,19961805,1996-07-02T00:00:00,3511,2630-36,,50,FENWICK AVE,NEWARK,626,SCHUYLER AVE,KEARNY,NJ,07032,1997-03-31T00:00:00,40.7021332,-74.19334
9230,1996-07-08T00:00:00,19961380,1996-07-08T00:00:00,406,27.01,,79,COSSIO CT.,NEWARK,10,HWY 35,RED BANK,NJ,07701,1997-07-30T00:00:00,40.7416229,-74.18439
9232,1996-07-08T00:00:00,19961412,1996-07-08T00:00:00,406,27.04,,85,COSSIO CT.,NEWARK,10,HWY 35,RED BANK,NJ,07701,1997-10-28T00:00:00,40.74168,-74.18456
9235,1996-07-08T00:00:00,19961415,1996-07-08T00:00:00,406,27.07,,91,COSSIO COURT,NEWARK,10,HWY 35,RED BANK,NJ,07701,1997-09-23T00:00:00,40.7417,-74.18478
9236,1996-07-05T00:00:00,19961387,1996-07-08T00:00:00,406,27.08,,93,COSSIO CT.,NEWARK,10,HWY 35,RED BANK,NJ,07701,1997-10-28T00:00:00,40.7417526,-74.18479
9237,1996-07-05T00:00:00,19961388,1996-07-08T00:00:00,406,27.09,,95,COSSIO CT.,NEWARK,10,HWY 35,RED BANK,NJ,07701,1997-03-06T00:00:00,40.7417641,-74.18483
9238,1996-07-05T00:00:00,19961389,1996-07-08T00:00:00,406,27.10,,97,COSSIO CT.,NEWARK,10,HWY 35,RED BANK,NJ,07701,1997-10-28T00:00:00,40.7417755,-74.18486
9239,1996-07-05T00:00:00,19961390,1996-07-08T00:00:00,406,27.11,,99,COSSIO CT.,NEWARK,10,HWY 35,RED BANK,NJ,07701,1997-10-29T00:00:00,40.741787,-74.1849
9240,1996-01-03T00:00:00,19961400,1996-07-11T00:00:00,618,20,,53-55,ORATON ST.,NEWARK,822,LAKE STREET.,NEWARK,NJ,07104,1997-05-08T00:00:00,40.7674637,-74.1626053
9246,1996-07-08T00:00:00,19961410,1996-07-08T00:00:00,406,27.02,,81,COSSIO CT.,NEWARK,10,HWY 35,RED BANK,NJ,07701,1997-10-28T00:00:00,40.74161,-74.18451
9382,1996-06-07T00:00:00,19961245,1996-06-07T00:00:00,380,1,,141,SUMMIT ST.,NEWARK,323,MARTIN LUTHER KING B,NEWARK,NJ,07102,1997-08-18T00:00:00,40.7407722,-74.17934
9549,1996-08-15T00:00:00,19961660,1996-08-15T00:00:00,2807,"24,25,26",,70(A),EMMETT ST.,NEWARK,214,EAST GROVE ST.,WESTFIELD,NJ,07091,1997-05-19T00:00:00,40.71993,-74.17905
9551,1996-08-15T00:00:00,19961659,1996-08-15T00:00:00,2807,"24,25,26",,74,EMMETT ST.,NEWARK,214,EAST GROVE ST.,WESTFIELD,NJ,07091,1997-05-19T00:00:00,40.7207832,-74.1814957
9558,1996-08-15T00:00:00,19961657,1996-08-19T00:00:00,2807,"24,25,26",,72,EMMET STREET,NEWARK,214,EAST GROVE ST.,WESTFIELD,NJ,07091,1929-05-19T00:00:00,40.71993,-74.17905
9559,1996-08-15T00:00:00,19961658,1996-08-19T00:00:00,2807,"24,25,26",,70B,EMMET STREET,NEWARK,214,EAST GROVE ST.,WESTFIELD,NJ,07091,1997-05-19T00:00:00,40.71993,-74.17905
9579,1996-08-19T00:00:00,19961668,1996-08-19T00:00:00,2071,38,,92,ROME STREET,NEWARK,403,WALNUT STREET,NEWARK,NJ,07105,1997-11-10T00:00:00,40.724,-74.14622
9659,1996-08-26T00:00:00,19961708,1996-08-26T00:00:00,1888,41,,57,NO. 7TH STREET,NEWARK,275,SUSSEX AVE.,NEWARK,NJ,07107,1997-04-23T00:00:00,40.7513542,-74.19173
9713,1996-08-08T00:00:00,19961597,1996-08-08T00:00:00,1147.01,10.02,,442-454,JEFFERSON STREET,NEWARK,433,ADAMS STREET,NEWARK,NJ,07105,1997-03-20T00:00:00,40.7170067,-74.16697
9724,1996-08-27T00:00:00,19961718,1996-08-27T00:00:00,375,50,,49,HANFORD ST.,NEWARK,242,RUTLEDGE AVE.,EAST ORANGE,NJ,,1997-04-24T00:00:00,40.6930428,-74.20406
9734,1996-08-22T00:00:00,19961694,1996-08-22T00:00:00,5084,70,"",50,PORT STREET,NEWARK,"",ONE,WHITE PLAINS,NY,10601,1997-03-21T00:00:00,40.7056236,-74.15465
9791,1996-08-20T00:00:00,19961675,1996-08-20T00:00:00,1997,2,,572,MARKET ST,NEWARK,87,MADISON STREET,NEWARK,NJ,07105,1997-05-21T00:00:00,40.7311821,-74.15352
9793,1996-06-15T00:00:00,19961354,1996-06-15T00:00:00,3733,7,,406-412,LYONS AVENUE,NEWARK,2000,PATTON ROAD,UNION,NJ,07083,1996-06-15T00:00:00,40.7138939,-74.22165
9798,1996-08-16T00:00:00,19961667,1996-08-16T00:00:00,595,14,,541,NORTH 7TH STREET,NEWARK,103,NORTH 2ND ST.,HARRISON,NJ,07029,1997-05-16T00:00:00,40.7684135,-74.1827
9840,1996-09-04T00:00:00,19961744,1996-09-04T00:00:00,125,13,,52,PARK PLACE,NEWARK,230,BROADWAY,NEWARK,NJ,07104,1997-07-07T00:00:00,40.7388077,-74.1685257
9862,1996-09-05T00:00:00,19961752,1996-09-05T00:00:00,442,52,,121-123,BROADWAY,NEWARK,97,UNION AVENUE,CLIFTON,NJ,07011,1998-03-26T00:00:00,40.7543831,-74.17008
9975,1996-08-20T00:00:00,19961850,1996-09-24T00:00:00,1980,12,,396-398,LAFAYETTE ST.,NEWARK,396-398,LAFAYETTE STREET,NEWARK,NJ,07105,1997-05-08T00:00:00,40.7259331,-74.15512
9979,1996-09-16T00:00:00,19961854,1996-09-24T00:00:00,737,5,,676,MT. PROSPECT,NEWARK,676,MT. PROSPECT,NEWARK,NJ,07104,1997-06-06T00:00:00,40.7751961,-74.16629
10008,1996-09-06T00:00:00,19960280,1996-09-06T00:00:00,2802,22,,198,CLINTON AVENUE,NEWARK,212,PESHINE AVENUE,NEWARK,NJ,07108,1998-01-16T00:00:00,40.7235,-74.18631
10009,1996-08-29T00:00:00,19961792,1996-09-12T00:00:00,2422,36,,62,JOSEPH STREET,NEWARK,72,JOSEPH STREET,NEWARK,NJ,07105,1998-03-13T00:00:00,40.7375755,-74.13497
10017,1996-06-14T00:00:00,19958428,1996-09-03T00:00:00,1959,19,,246,NORTH 7TH STREET,NEWARK,159,GRAFTON AVENUE,NEWARK,NJ,07104,1997-04-25T00:00:00,40.7581558,-74.18876
10052,1996-10-01T00:00:00,19961883,1996-10-01T00:00:00,278,28,,422,FIFTEENTH AVENUE,NEWARK,298,SOUTH ORANGE AVE.,NEWARK,NJ,07103,1996-10-01T00:00:00,40.73682,-74.1977158
10054,1996-10-01T00:00:00,19961884,1996-10-01T00:00:00,278,30,,426,FIFTEENTH AVE.,NEWARK,298,SOUTH ORANGE AVENUE,NEWARK,NJ,07103,1999-02-11T00:00:00,40.736866,-74.1979
10072,1996-07-15T00:00:00,19961903,1996-10-02T00:00:00,406,15.11,,2,ASHBY LANE,NEWARK,10,HIGHWAY 35,RED BANK,NJ,07701,1997-07-30T00:00:00,40.7410469,-74.18453
10075,1996-07-15T00:00:00,19961904,1996-10-02T00:00:00,406,15.10,,4,ASHBY LANE,NEWARK,10,HIGHWAY 35,RED BANK,NJ,07701,1997-08-26T00:00:00,40.74106,-74.18456
10076,1996-08-29T00:00:00,19961895,1996-10-02T00:00:00,620,55,,40-44,LINCOLN AVENUE,NEWARK,822,LAKE STREET,NEWARK,NJ,07104,1997-05-08T00:00:00,40.7666321,-74.16514
10082,1996-07-15T00:00:00,19961909,1996-10-03T00:00:00,406,15.09,,6,ASHBY LANE,NEWARK,10,HIGHWAY 35,RED BANK,NJ,07701,1997-10-28T00:00:00,40.741066,-74.18459
10083,1996-07-15T00:00:00,19961910,1996-10-03T00:00:00,406,15.08,,8,ASHBY LANE,NEWARK,10,HIGHWAY 35,RED BANK,NJ,07701,1997-10-28T00:00:00,40.7410774,-74.18462
10089,1996-07-15T00:00:00,19961918,1996-10-03T00:00:00,406,15.07,,10,ASHBY LANE,NEWARK,10,HIGHWAY 35,RED BANK,NJ,07701,1966-10-02T00:00:00,40.74109,-74.1846542
10094,1996-07-15T00:00:00,19961919,1996-10-03T00:00:00,406,15.06,,12,ASHBY LANE,NEWARK,10,HIGHWAY 35,RED BANK,NJ,07701,1997-10-28T00:00:00,40.7411,-74.1846848
