Block,Lot,QualCode,Tax
4,119,           ,797.92
4,9,           ,733917.96
5,1,           ,20497.61
5,14,           ,57894.62
6,1,           ,28281.12
6,5,           ,27831.48
6,5,T01        ,7305.96
6,1,B01        ,2825.01
8,9.03,           ,32498.48
8,9.05,           ,41348.76
8,9.06,           ,34350.69
9,6,B01        ,4577.82
9,6,           ,123571.69
12,44,           ,14918.91
12,20,           ,1125.66
12,16,           ,1355.14
12,46,           ,1519.49
12,14,           ,1252.8
12,53,           ,105434
14,7,           ,117853.51
14,43,           ,5783.37
14,46,           ,5625.21
14,49,           ,5625.21
14,4,           ,10968.88
14,19,           ,14633.45
14,44,           ,6267.12
14,48,           ,5625.21
14,9,           ,1028359.82
14,45,           ,5463.96
14,50,           ,11408.58
14,1,           ,336187.76
14,47,           ,5625.21
15,23,           ,10183.68
15,25,           ,11489.21
15,39,           ,937
15,57,           ,6277.62
15,24,           ,7752.5
15,36,           ,7969.57
15,52,           ,6048.42
15,58,           ,2673.85
15,20,           ,3516.66
15,37,           ,10863.13
15,38,           ,1676.71
15,45,           ,58726.62
15,53,           ,6209.18
15,21,           ,20584.43
15,22,           ,8527.74
15,30,           ,8139.1
15,35,           ,8980.5
15,39,B01        ,2098.67
15,51,           ,7848.63
15,70,           ,19682.78
17,7,           ,767902.31
17,26,           ,6468.4
18,9,           ,8671.87
18,27,           ,78234.33
18,1,           ,28421.46
18,3,           ,15654.02
18,6,           ,6834.5
18,8,           ,6834.4
18,22,           ,47222.56
18,2,           ,22888.95
18,10,           ,11002.06
18,19,           ,14416.06
18,25,           ,55631.79
18,39,           ,274194.38
18,5,           ,4668.89
18,7,           ,7833.11
18,11,           ,83763.34
18,16,           ,29704.18
18,20,           ,38624.91
18,67,           ,16674.13
19,6,           ,8226.14
19,8,           ,6954.27
19,15,           ,7339.45
19,21,           ,18346.51
19,22,           ,6296.52
19,5,           ,13997.08
19,12,           ,9708.82
19,17,           ,14338.83
19,18,           ,11288.16
19,20,           ,4952.77
19,2,           ,8169.8
19,4,           ,14612.42
19,9,           ,20358.87
19,13,           ,21090.79
19,14,           ,12839.91
19,19,           ,6590.12
19,23,           ,11689.54
19,25,           ,11161.35
19,26,           ,8278.81
19,1,           ,88502.92
19,7,           ,6419.07
19,11,           ,11576.61
19,24,           ,14036.69
20,9,           ,7784.95
20,14,           ,13343.44
20,6,           ,11202.99
20,8,           ,8340.13
20,21,           ,10004.01
20,5,           ,12359.68
20,7,           ,9733.31
20,31,           ,5669.59
20,10,           ,10900.55
20,13,           ,4446.72
20,19,           ,20754.55
20,23,           ,3356.1
20,25,           ,18006.27
21,23,           ,6878.27
21,20,           ,8051.1
21,8,           ,46170.79
22,20,           ,18389.36
22,10,           ,59164.49
22,22,           ,18761.05
22,25,           ,19530.1
22,21,           ,10939.24
22,24,           ,21248.05
22,9,           ,19824.69
22,23,           ,25978.71
22,26,           ,36483.27
24,40,           ,626036
24,29,           ,1182944.67
24,37,           ,234925.56
25,1,           ,369403.36
29,17,           ,1852.58
29,48,           ,2953.62
29,1,           ,16046.87
29,6,           ,7175.71
29,18.01,           ,7870.34
29,18.04,           ,7405.19
29,36,           ,6642.34
29,47,           ,2457.32
29,18.03,           ,8406.81
29,18.05,           ,12096.36
29,33,           ,7305.96
29,16,           ,2078.94
29,18.02,           ,7904.45
29,32,           ,3817.33
29,46,           ,757.82
31,15,           ,14333.63
31,21,           ,1873
31,22,           ,6105.87
31,27,           ,50292.02
31,14,           ,5783.37
31,14,B01        ,1981.54
31,23,           ,3535.14
31,25,           ,11086.08
32,18.01,C1A        ,19578.39
32,18.02,C2AX       ,1488.48
32,53,           ,5091.76
32,51,           ,5355.43
32,18.03,C2B        ,514031.06
32,52,           ,5417.56
33,1,           ,4332.1
33,3,           ,3696.39
33,11,           ,7712.19
33,35,           ,6691.96
33,55,           ,3861.68
33,63,           ,2527.32
33,4,           ,3212.64
33,9,           ,9318.51
33,30.01,CIA        ,2349.45
33,30.02,CIB        ,3082.86
33,2,           ,5141.46
33,30.04,C3D        ,3055.18
33,34,           ,14232.07
